model,prompt_text,prompt_type,category,mean_pairwise_similarity,std_pairwise_similarity,semantic_diversity,n_responses
gpt-4.1,What is the most underrated movie of all time?,underrated,movies,0.7155457,0.22700705,0.2844543,20
gpt-4.1,What is the most underrated movie of the 2010s?,underrated,movies,0.4656728,0.25759175,0.5343272,20
gpt-4.1,What is the most underrated sci-fi movie?,underrated,movies,0.5847605,0.21384037,0.4152395,20
gpt-4.1,What is the most underrated comedy movie?,underrated,movies,0.56371045,0.2975416,0.43628955,20
gpt-4.1,What is the most underrated horror movie?,underrated,movies,0.7135442,0.21119703,0.2864558,20
gpt-4.1,What is the most underrated animated movie?,underrated,movies,0.89672095,0.039061148,0.103279054,20
gpt-4.1,What is the most underrated documentary?,underrated,movies,0.388737,0.2376742,0.61126304,20
gpt-4.1,What is the most underrated action movie?,underrated,movies,0.43737423,0.23010388,0.56262577,20
gpt-4.1,What is the most underrated romantic movie?,underrated,movies,0.8192308,0.18647987,0.1807692,20
gpt-4.1,What is the most underrated thriller movie?,underrated,movies,0.79502606,0.07062298,0.20497394,20
gpt-4.1,What is the most underrated album of all time?,underrated,music,0.5275203,0.28176612,0.4724797,20
gpt-4.1,What is the most underrated band?,underrated,music,0.68170637,0.22695382,0.31829363,20
gpt-4.1,What is the most underrated solo artist?,underrated,music,0.56279314,0.2105374,0.43720686,20
gpt-4.1,What is the most underrated hip-hop album?,underrated,music,0.7420064,0.2728392,0.25799358,20
gpt-4.1,What is the most underrated rock album?,underrated,music,0.41211045,0.15165469,0.58788955,20
gpt-4.1,What is the most underrated song of the 2000s?,underrated,music,0.42209113,0.19046189,0.5779089,20
gpt-4.1,What is the most underrated jazz musician?,underrated,music,0.48760834,0.15672478,0.5123917,20
gpt-4.1,What is the most underrated music genre?,underrated,music,0.51485556,0.24057868,0.48514444,20
gpt-4.1,What is the most underrated classical composer?,underrated,music,0.55803525,0.23608756,0.44196475,20
gpt-4.1,What is the most underrated electronic music artist?,underrated,music,0.42064628,0.14337659,0.5793537,20
gpt-4.1,What is the most underrated book of all time?,underrated,books,0.8845338,0.050482772,0.11546618,20
gpt-4.1,What is the most underrated novel of the 21st century?,underrated,books,0.8251565,0.18835375,0.17484349,20
gpt-4.1,What is the most underrated science fiction book?,underrated,books,0.55306625,0.21417199,0.44693375,20
gpt-4.1,What is the most underrated non-fiction book?,underrated,books,0.3713366,0.17087747,0.6286634,20
gpt-4.1,What is the most underrated author?,underrated,books,0.4772002,0.19934559,0.5227998,20
gpt-4.1,What is the most underrated fantasy novel?,underrated,books,0.67324513,0.21253349,0.32675487,20
